source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
MD/add_sub_3op_symbolic,0.0000,0.0041,0.0046,0.0000,0.0018,0.0000,0.0011,0.0041,0.9960,0.9779,0.9990,0.9920,0.5719,0.0077,0.0000,0.0000,0.9542,0.0011,0.4020,0.0000,0.0000,0.9969,0.9581,0.9378,0.7742,0.0946,0.9707,0.0032,0.0000,0.0005,0.0000,0.0000,0.0036,0.0075,0.0000,0.0135,0.0050,0.0000,0.0000,0.0065,0.0076,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000
MD/add_sub_3op_verbal,0.0000,0.0083,0.0149,0.0028,0.0018,0.0000,0.0011,0.0008,0.9910,0.9878,0.9990,0.9906,0.5349,0.0263,0.0000,0.0000,0.8215,0.0000,0.0274,0.0010,0.0000,0.9888,0.9699,0.8725,0.5806,0.0433,0.9494,0.0032,0.0000,0.0015,0.0000,0.0005,0.0053,0.0215,0.0107,0.0090,0.0000,0.0087,0.0121,0.0104,0.1206,0.0026,0.0150,0.0080,0.0028,0.0283,0.0000
MD/code_A,0.0000,0.0000,0.0011,0.0014,0.0000,0.0000,0.0000,0.0054,0.9960,0.9635,0.9847,0.9343,0.9434,0.2133,0.9360,0.0240,0.9886,0.0970,0.8149,0.7738,0.0030,0.9969,0.9398,0.9657,0.8508,0.9356,0.9787,0.0316,0.0010,0.0126,0.1360,0.0977,0.0107,0.0608,0.0374,0.0405,0.0151,0.1710,0.0660,0.0585,0.1573,0.0052,0.0139,0.0717,0.0732,0.0621,0.1831
MD/code_B,0.0000,0.0069,0.0034,0.0000,0.0037,0.0000,0.0011,0.0049,0.0000,0.0155,0.0051,0.0429,0.1068,0.9125,0.4470,0.8730,0.0046,0.1706,0.5674,0.1012,0.0060,0.0000,0.0340,0.0054,0.0524,0.0211,0.0093,0.0758,0.0010,0.0147,0.0315,0.4390,0.0089,0.0449,0.0588,0.0856,0.0277,0.5243,0.4312,0.0897,0.5725,0.0091,0.2318,0.0525,0.0691,0.0972,0.2324
MD/code_conditional,0.0000,0.0028,0.0046,0.0014,0.0018,0.0000,0.0022,0.0119,0.0000,0.0044,0.0000,0.0054,0.3464,0.3895,1.0000,0.2190,0.0011,0.1247,0.0077,0.8605,0.0080,0.0000,0.0039,0.0000,0.0081,0.0111,0.0040,0.0695,0.0000,0.0222,0.2715,0.3296,0.0258,0.1151,0.0588,0.0901,0.0302,0.3059,0.1459,0.0923,0.2366,0.0131,0.0300,0.0876,0.1160,0.1026,0.2183
MD/code_list,0.0000,0.0041,0.0046,0.0014,0.0018,0.0000,0.0022,0.0049,0.0000,0.0033,0.0000,0.0067,0.0501,0.7943,0.2080,0.9770,0.0000,0.0725,0.0088,0.0155,0.0080,0.0000,0.0039,0.0011,0.0121,0.0101,0.0013,0.0900,0.0000,0.0121,0.0205,0.4233,0.0098,0.0486,0.0695,0.0631,0.0227,0.5331,0.4377,0.1066,0.5893,0.0144,0.0376,0.0366,0.0718,0.1296,0.1761
MD/code_loop,0.0000,0.0096,0.0034,0.0028,0.0000,0.0000,0.0000,0.0025,0.9217,0.9094,0.9499,0.9062,0.5850,0.0088,0.0000,0.0000,0.9954,0.0000,0.7853,0.0000,0.0000,0.9520,0.8953,0.9582,0.7863,0.1006,0.9654,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0107,0.0135,0.0025,0.0025,0.0000,0.0104,0.0137,0.0000,0.0011,0.0000,0.0028,0.0000,0.0070
MD/logic_propositional_1,0.0000,0.0083,0.0057,0.0014,0.0000,0.0000,0.0000,0.0004,0.0000,0.0011,0.0010,0.0027,0.0142,0.0372,0.0000,0.0010,0.0000,1.0000,0.2256,0.0403,0.3073,0.0000,0.0000,0.0011,0.0000,0.0121,0.0027,0.0379,0.0000,0.0051,0.0005,0.0177,0.0036,0.0365,0.0588,0.0225,0.0353,0.0836,0.0613,0.0182,0.0870,0.0039,0.0054,0.0175,0.0414,0.0121,0.0563
MD/logic_propositional_symbolic,0.0000,0.0055,0.0046,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0022,0.0051,0.0107,0.0153,0.0842,0.0000,0.0020,0.0011,0.4861,0.9967,0.1105,0.6767,0.0000,0.0039,0.0000,0.0040,0.0070,0.0040,0.0458,0.0000,0.0045,0.0000,0.0147,0.0062,0.0271,0.0535,0.0405,0.0579,0.3745,0.1599,0.0182,0.0779,0.0039,0.0021,0.0175,0.0331,0.0067,0.0493
MD/logic_syllogism_1,0.0000,0.0069,0.0069,0.0028,0.0000,0.0000,0.0000,0.0029,0.0000,0.0011,0.0000,0.0054,0.0545,0.0416,0.0860,0.0010,0.0011,0.0032,0.0318,1.0000,0.0000,0.0000,0.0026,0.0000,0.0081,0.0091,0.0040,0.0348,0.0000,0.0056,0.0795,0.1377,0.0036,0.0299,0.0749,0.0360,0.0680,0.0187,0.0112,0.0221,0.0702,0.0026,0.0129,0.0525,0.0677,0.0108,0.0915
MD/logic_syllogism_symbolic,0.0009,0.0096,0.0172,0.0155,0.0018,0.0000,0.0033,0.0148,0.0000,0.0022,0.0031,0.0054,0.0076,0.0569,0.0000,0.0010,0.0000,0.0821,0.1150,0.0155,1.0000,0.0000,0.0026,0.0043,0.0040,0.0070,0.0067,0.0427,0.0020,0.0035,0.0000,0.0051,0.0098,0.0234,0.0428,0.0360,0.0202,0.1923,0.0716,0.0325,0.0473,0.0091,0.0086,0.0048,0.0124,0.0094,0.0352
