,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.0084,0.0153,0.0229,0.0298,0.0107,0.0160,0.0137,0.0160,0.0023,0.0603,1.0000,0.0282,0.0649,0.0107,0.0260,0.0282,0.0527,0.0328,0.0176,0.0191,0.0313,0.0366,0.0809,0.0603,0.0435,0.0313,0.0160,0.0130,0.0198,0.0267,0.0176,0.0160,0.0084,0.0076,0.0053,0.0053,0.0008,0.0099,0.0053,0.0061
MD/logic_syllogism_1,0.0130,0.0382,0.0214,0.0282,0.1153,0.0947,0.1908,0.0840,0.0122,0.0664,0.0282,1.0000,0.0863,0.0130,0.0366,0.0397,0.0427,0.0168,0.0687,0.0802,0.0824,0.0267,0.0374,0.0366,0.1061,0.0985,0.0443,0.0405,0.0412,0.0870,0.0855,0.0412,0.0122,0.0160,0.0137,0.0115,0.0115,0.0191,0.0107,0.0130
MD/logic_syllogism_symbolic,0.0053,0.0115,0.0214,0.0290,0.0443,0.0641,0.0649,0.0588,0.0107,0.2809,0.0649,0.0863,1.0000,0.0076,0.0153,0.0298,0.0328,0.0214,0.0267,0.0237,0.0397,0.0206,0.0405,0.0496,0.2076,0.1481,0.0282,0.0176,0.0214,0.0405,0.0321,0.0183,0.0076,0.0031,0.0031,0.0031,0.0008,0.0076,0.0023,0.0061
MD/mul_div_2op_symbolic,0.7160,0.3832,0.4496,0.1527,0.2817,0.0237,0.0145,0.0076,0.3748,0.0084,0.0107,0.0130,0.0076,1.0000,0.3763,0.0267,0.0107,0.0107,0.0130,0.0145,0.0115,0.0084,0.0122,0.0130,0.0115,0.0092,0.0145,0.0115,0.0115,0.0115,0.0115,0.0168,0.0061,0.0053,0.0038,0.0008,0.0008,0.0031,0.0046,0.0053
MD/mul_div_2op_verbal,0.3588,0.4901,0.2756,0.2015,0.1954,0.0916,0.0618,0.0809,0.2328,0.0183,0.0260,0.0366,0.0153,0.3763,1.0000,0.0313,0.0168,0.0160,0.0359,0.0282,0.0366,0.0145,0.0214,0.0191,0.0718,0.0748,0.0351,0.0374,0.0519,0.0534,0.0382,0.0550,0.0084,0.0061,0.0046,0.0038,0.0061,0.0046,0.0053,0.0069
MD/number_sorting,0.0305,0.0275,0.0405,0.0382,0.0427,0.0382,0.0366,0.0328,0.0206,0.0275,0.0282,0.0397,0.0298,0.0267,0.0313,1.0000,0.0252,0.0206,0.0374,0.0420,0.0389,0.0168,0.0305,0.0351,0.0359,0.0366,0.0405,0.0305,0.0382,0.0412,0.0344,0.0252,0.0168,0.0115,0.0084,0.0092,0.0031,0.0092,0.0107,0.0061
ToM/agent,0.0084,0.0137,0.0137,0.0191,0.0168,0.0130,0.0229,0.0145,0.0061,0.0366,0.0527,0.0427,0.0328,0.0107,0.0168,0.0252,1.0000,0.0809,0.0275,0.0328,0.0481,0.1053,0.1901,0.2580,0.0328,0.0282,0.0168,0.0275,0.0290,0.0344,0.0321,0.0176,0.0053,0.0076,0.0046,0.0031,0.0008,0.0069,0.0053,0.0008
ToM/desires_goals,0.0099,0.0084,0.0214,0.0214,0.0046,0.0069,0.0069,0.0053,0.0076,0.0176,0.0328,0.0168,0.0214,0.0107,0.0160,0.0206,0.0809,1.0000,0.0115,0.0122,0.0153,0.1145,0.0756,0.0664,0.0107,0.0084,0.0137,0.0076,0.0176,0.0107,0.0115,0.0099,0.0076,0.0015,0.0023,0.0008,0.0008,0.0084,0.0031,0.0023
ToM/emotion_fewshot,0.0107,0.0397,0.0206,0.0298,0.0771,0.0954,0.1137,0.1031,0.0053,0.0221,0.0176,0.0687,0.0267,0.0130,0.0359,0.0374,0.0275,0.0115,1.0000,0.1756,0.1725,0.0389,0.0366,0.0282,0.1038,0.1107,0.0885,0.0847,0.0916,0.1603,0.1580,0.0962,0.0168,0.0153,0.0145,0.0122,0.0153,0.0130,0.0115,0.0176
ToM/norm_appropriate,0.0168,0.0282,0.0183,0.0313,0.0786,0.0718,0.1145,0.0725,0.0046,0.0183,0.0191,0.0802,0.0237,0.0145,0.0282,0.0420,0.0328,0.0122,0.1756,1.0000,0.2305,0.0237,0.0412,0.0305,0.0733,0.0695,0.0992,0.0748,0.0679,0.1328,0.2260,0.0679,0.0176,0.0153,0.0122,0.0076,0.0168,0.0092,0.0130,0.0214
ToM/norm_moral,0.0115,0.0298,0.0221,0.0328,0.0763,0.0947,0.1244,0.1061,0.0076,0.0290,0.0313,0.0824,0.0397,0.0115,0.0366,0.0389,0.0481,0.0153,0.1725,0.2305,1.0000,0.0344,0.0672,0.0504,0.1183,0.1214,0.1069,0.0771,0.1076,0.1489,0.2267,0.1382,0.0214,0.0168,0.0130,0.0122,0.0115,0.0099,0.0099,0.0176
ToM/primary_emotions,0.0084,0.0115,0.0137,0.0176,0.0099,0.0061,0.0130,0.0069,0.0069,0.0183,0.0366,0.0267,0.0206,0.0084,0.0145,0.0168,0.1053,0.1145,0.0389,0.0237,0.0344,1.0000,0.0908,0.0794,0.0153,0.0176,0.0092,0.0099,0.0122,0.0267,0.0267,0.0099,0.0092,0.0031,0.0023,0.0008,0.0015,0.0099,0.0023,0.0000
ToM/social_interactions,0.0084,0.0137,0.0198,0.0252,0.0244,0.0351,0.0344,0.0420,0.0069,0.0374,0.0809,0.0374,0.0405,0.0122,0.0214,0.0305,0.1901,0.0756,0.0366,0.0412,0.0672,0.0908,1.0000,0.1542,0.0550,0.0466,0.0351,0.0244,0.0382,0.0366,0.0389,0.0313,0.0107,0.0084,0.0038,0.0038,0.0061,0.0092,0.0084,0.0069
ToM/social_relations,0.0099,0.0137,0.0198,0.0237,0.0313,0.0550,0.0405,0.0565,0.0076,0.0405,0.0603,0.0366,0.0496,0.0130,0.0191,0.0351,0.2580,0.0664,0.0282,0.0305,0.0504,0.0794,0.1542,1.0000,0.0702,0.0649,0.0321,0.0244,0.0382,0.0359,0.0313,0.0344,0.0130,0.0061,0.0053,0.0031,0.0031,0.0115,0.0046,0.0038
phys/phys_newton,0.0061,0.0634,0.0160,0.0389,0.1748,0.3718,0.2679,0.3656,0.0053,0.1824,0.0435,0.1061,0.2076,0.0115,0.0718,0.0359,0.0328,0.0107,0.1038,0.0733,0.1183,0.0153,0.0550,0.0702,1.0000,0.5832,0.1130,0.0901,0.1260,0.1023,0.1122,0.0985,0.0221,0.0061,0.0076,0.0046,0.0130,0.0069,0.0046,0.0160
phys/phys_prost,0.0046,0.0733,0.0130,0.0290,0.1710,0.3824,0.2611,0.3901,0.0038,0.1206,0.0313,0.0985,0.1481,0.0092,0.0748,0.0366,0.0282,0.0084,0.1107,0.0695,0.1214,0.0176,0.0466,0.0649,0.5832,1.0000,0.1153,0.0954,0.1145,0.1038,0.1153,0.1046,0.0168,0.0076,0.0092,0.0076,0.0160,0.0038,0.0038,0.0191
phys/physics_brightness,0.0122,0.0313,0.0183,0.0221,0.0595,0.1267,0.1107,0.1221,0.0092,0.0176,0.0160,0.0443,0.0282,0.0145,0.0351,0.0405,0.0168,0.0137,0.0885,0.0992,0.1069,0.0092,0.0351,0.0321,0.1130,0.1153,1.0000,0.1038,0.1099,0.0893,0.1015,0.0824,0.0183,0.0191,0.0176,0.0183,0.0168,0.0023,0.0221,0.0267
phys/physics_elasticity,0.0099,0.0412,0.0160,0.0252,0.0504,0.0969,0.0847,0.0969,0.0046,0.0137,0.0130,0.0405,0.0176,0.0115,0.0374,0.0305,0.0275,0.0076,0.0847,0.0748,0.0771,0.0099,0.0244,0.0244,0.0901,0.0954,0.1038,1.0000,0.1191,0.0824,0.0809,0.0863,0.0198,0.0351,0.0275,0.0244,0.0191,0.0038,0.0252,0.0359
phys/physics_solubility,0.0099,0.0420,0.0206,0.0321,0.0542,0.1290,0.0817,0.1435,0.0031,0.0137,0.0198,0.0412,0.0214,0.0115,0.0519,0.0382,0.0290,0.0176,0.0916,0.0679,0.1076,0.0122,0.0382,0.0382,0.1260,0.1145,0.1099,0.1191,1.0000,0.1023,0.1023,0.1542,0.0153,0.0130,0.0076,0.0099,0.0115,0.0069,0.0267,0.0267
phys/physics_speed,0.0069,0.0542,0.0244,0.0374,0.0786,0.0954,0.1168,0.0992,0.0069,0.0260,0.0267,0.0870,0.0405,0.0115,0.0534,0.0412,0.0344,0.0107,0.1603,0.1328,0.1489,0.0267,0.0366,0.0359,0.1023,0.1038,0.0893,0.0824,0.1023,1.0000,0.1901,0.1221,0.0153,0.0168,0.0160,0.0130,0.0137,0.0153,0.0122,0.0084
phys/physics_stability,0.0076,0.0435,0.0115,0.0282,0.0779,0.0985,0.1313,0.1038,0.0092,0.0275,0.0176,0.0855,0.0321,0.0115,0.0382,0.0344,0.0321,0.0115,0.1580,0.2260,0.2267,0.0267,0.0389,0.0313,0.1122,0.1153,0.1015,0.0809,0.1023,0.1901,1.0000,0.0763,0.0176,0.0160,0.0176,0.0153,0.0145,0.0115,0.0122,0.0176
phys/physics_temperature,0.0122,0.0511,0.0122,0.0321,0.0588,0.1191,0.0947,0.1229,0.0084,0.0122,0.0160,0.0412,0.0183,0.0168,0.0550,0.0252,0.0176,0.0099,0.0962,0.0679,0.1382,0.0099,0.0313,0.0344,0.0985,0.1046,0.0824,0.0863,0.1542,0.1221,0.0763,1.0000,0.0153,0.0183,0.0145,0.0122,0.0137,0.0076,0.0122,0.0160
Lan/anaphor_gender_agreement,0.0069,0.0061,0.0107,0.0076,0.0053,0.0099,0.0069,0.0115,0.0031,0.0069,0.0084,0.0122,0.0076,0.0061,0.0084,0.0168,0.0053,0.0076,0.0168,0.0176,0.0214,0.0092,0.0107,0.0130,0.0221,0.0168,0.0183,0.0198,0.0153,0.0153,0.0176,0.0153,1.0000,0.0382,0.0321,0.0321,0.0252,0.0214,0.0313,0.0153
Lan/det_noun_agreement_irregular,0.0053,0.0061,0.0076,0.0053,0.0046,0.0038,0.0076,0.0046,0.0031,0.0031,0.0076,0.0160,0.0031,0.0053,0.0061,0.0115,0.0076,0.0015,0.0153,0.0153,0.0168,0.0031,0.0084,0.0061,0.0061,0.0076,0.0191,0.0351,0.0130,0.0168,0.0160,0.0183,0.0382,1.0000,0.6634,0.5115,0.0466,0.0130,0.0855,0.1611
Lan/det_noun_agreement_regular,0.0031,0.0038,0.0061,0.0061,0.0023,0.0061,0.0099,0.0069,0.0031,0.0023,0.0053,0.0137,0.0031,0.0038,0.0046,0.0084,0.0046,0.0023,0.0145,0.0122,0.0130,0.0023,0.0038,0.0053,0.0076,0.0092,0.0176,0.0275,0.0076,0.0160,0.0176,0.0145,0.0321,0.6634,1.0000,0.5687,0.0435,0.0130,0.0893,0.1725
Lan/det_noun_agreement_with_adjective,0.0023,0.0015,0.0069,0.0023,0.0023,0.0046,0.0069,0.0061,0.0015,0.0023,0.0053,0.0115,0.0031,0.0008,0.0038,0.0092,0.0031,0.0008,0.0122,0.0076,0.0122,0.0008,0.0038,0.0031,0.0046,0.0076,0.0183,0.0244,0.0099,0.0130,0.0153,0.0122,0.0321,0.5115,0.5687,1.0000,0.0511,0.0099,0.0977,0.2122
Lan/hypernymy,0.0015,0.0038,0.0023,0.0046,0.0076,0.0137,0.0130,0.0137,0.0000,0.0008,0.0008,0.0115,0.0008,0.0008,0.0061,0.0031,0.0008,0.0008,0.0153,0.0168,0.0115,0.0015,0.0061,0.0031,0.0130,0.0160,0.0168,0.0191,0.0115,0.0137,0.0145,0.0137,0.0252,0.0466,0.0435,0.0511,1.0000,0.0053,0.0122,0.0206
Lan/npi,0.0046,0.0031,0.0031,0.0092,0.0031,0.0008,0.0031,0.0015,0.0031,0.0107,0.0099,0.0191,0.0076,0.0031,0.0046,0.0092,0.0069,0.0084,0.0130,0.0092,0.0099,0.0099,0.0092,0.0115,0.0069,0.0038,0.0023,0.0038,0.0069,0.0153,0.0115,0.0076,0.0214,0.0130,0.0130,0.0099,0.0053,1.0000,0.0137,0.0031
Lan/subject_verb_agreement,0.0031,0.0038,0.0069,0.0061,0.0023,0.0046,0.0038,0.0046,0.0038,0.0015,0.0053,0.0107,0.0023,0.0046,0.0053,0.0107,0.0053,0.0031,0.0115,0.0130,0.0099,0.0023,0.0084,0.0046,0.0046,0.0038,0.0221,0.0252,0.0267,0.0122,0.0122,0.0122,0.0313,0.0855,0.0893,0.0977,0.0122,0.0137,1.0000,0.0534
Lan/wug,0.0038,0.0076,0.0053,0.0023,0.0107,0.0298,0.0374,0.0344,0.0038,0.0038,0.0061,0.0130,0.0061,0.0053,0.0069,0.0061,0.0008,0.0023,0.0176,0.0214,0.0176,0.0000,0.0069,0.0038,0.0160,0.0191,0.0267,0.0359,0.0267,0.0084,0.0176,0.0160,0.0153,0.1611,0.1725,0.2122,0.0206,0.0031,0.0534,1.0000
