,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
phys/phys_prost,0.0992,0.1220,0.0981,0.1015,0.1456,0.2098,0.1675,0.2087,0.0721,0.1558,0.1133,0.1304,0.1506,0.0941,0.1165,0.1025,0.1305,0.1022,0.1074,0.1129,0.1111,0.1055,0.1322,0.1269,0.3887,1.0000,0.1006,0.1054,0.1071,0.1064,0.1128,0.1000,0.0719,0.0822,0.0842,0.0903,0.0979,0.0789,0.0687,0.1132
phys/physics_brightness,0.1243,0.1118,0.0976,0.0852,0.1188,0.1320,0.1299,0.1370,0.0976,0.0406,0.0533,0.0975,0.0553,0.1261,0.1034,0.0931,0.0746,0.0588,0.1548,0.1368,0.1435,0.0725,0.0810,0.0857,0.0807,0.1006,1.0000,0.1645,0.1577,0.1602,0.1497,0.1586,0.0884,0.1059,0.1002,0.0926,0.1046,0.0695,0.0878,0.1182
phys/physics_elasticity,0.1273,0.1174,0.0957,0.0847,0.1204,0.1353,0.1337,0.1444,0.0909,0.0398,0.0520,0.0981,0.0532,0.1311,0.1074,0.0907,0.0714,0.0533,0.1597,0.1406,0.1507,0.0698,0.0792,0.0818,0.0835,0.1054,0.1645,1.0000,0.1623,0.1620,0.1622,0.1714,0.0912,0.1124,0.1074,0.0965,0.1068,0.0709,0.0931,0.1268
phys/physics_solubility,0.1199,0.1160,0.0978,0.0902,0.1183,0.1311,0.1243,0.1387,0.0924,0.0532,0.0656,0.0994,0.0623,0.1254,0.1082,0.0919,0.0838,0.0679,0.1538,0.1414,0.1507,0.0792,0.0908,0.0886,0.0925,0.1071,0.1577,0.1623,1.0000,0.1685,0.1516,0.1839,0.0855,0.1046,0.0993,0.0919,0.1009,0.0739,0.0899,0.1173
phys/physics_speed,0.1255,0.1192,0.0981,0.0907,0.1253,0.1248,0.1306,0.1317,0.0948,0.0525,0.0633,0.1057,0.0646,0.1265,0.1087,0.0968,0.0870,0.0671,0.1706,0.1537,0.1601,0.0806,0.0897,0.0923,0.0893,0.1064,0.1602,0.1620,0.1685,1.0000,0.1734,0.1603,0.0870,0.1013,0.0971,0.0880,0.1021,0.0740,0.0836,0.1077
phys/physics_stability,0.1203,0.1148,0.0984,0.0887,0.1257,0.1306,0.1356,0.1368,0.0954,0.0570,0.0654,0.1077,0.0660,0.1213,0.1046,0.0956,0.0866,0.0672,0.1716,0.2087,0.1924,0.0834,0.0956,0.0914,0.0962,0.1128,0.1497,0.1622,0.1516,0.1734,1.0000,0.1500,0.0865,0.1015,0.0984,0.0907,0.0994,0.0756,0.0842,0.1126
phys/physics_temperature,0.1225,0.1188,0.0941,0.0860,0.1156,0.1277,0.1251,0.1380,0.0941,0.0405,0.0543,0.0919,0.0538,0.1291,0.1061,0.0904,0.0699,0.0554,0.1542,0.1364,0.1527,0.0669,0.0774,0.0810,0.0810,0.1000,0.1586,0.1714,0.1839,0.1603,0.1500,1.0000,0.0900,0.1064,0.1014,0.0913,0.1039,0.0698,0.0891,0.1184
Lan/anaphor_gender_agreement,0.0849,0.0787,0.0720,0.0645,0.0808,0.0871,0.0837,0.0913,0.0708,0.0505,0.0512,0.0699,0.0534,0.0875,0.0732,0.0717,0.0629,0.0565,0.0888,0.0824,0.0845,0.0621,0.0654,0.0690,0.0658,0.0719,0.0884,0.0912,0.0855,0.0870,0.0865,0.0900,1.0000,0.1093,0.1058,0.1052,0.1009,0.0765,0.0959,0.0932
Lan/det_noun_agreement_irregular,0.0977,0.0884,0.0786,0.0688,0.0924,0.1079,0.1021,0.1126,0.0779,0.0514,0.0542,0.0805,0.0549,0.1006,0.0839,0.0795,0.0725,0.0584,0.1043,0.1004,0.0979,0.0674,0.0761,0.0791,0.0711,0.0822,0.1059,0.1124,0.1046,0.1013,0.1015,0.1064,0.1093,1.0000,0.4724,0.3369,0.1219,0.0944,0.1264,0.1368
Lan/det_noun_agreement_regular,0.0950,0.0876,0.0798,0.0696,0.0916,0.1084,0.0991,0.1100,0.0770,0.0570,0.0561,0.0815,0.0591,0.0961,0.0849,0.0795,0.0763,0.0614,0.0987,0.0965,0.0947,0.0691,0.0782,0.0815,0.0746,0.0842,0.1002,0.1074,0.0993,0.0971,0.0984,0.1014,0.1058,0.4724,1.0000,0.3420,0.1219,0.0958,0.1264,0.1388
Lan/det_noun_agreement_with_adjective,0.0851,0.0798,0.0730,0.0631,0.0848,0.1072,0.0961,0.1090,0.0666,0.0639,0.0601,0.0760,0.0612,0.0874,0.0753,0.0753,0.0760,0.0632,0.0943,0.0902,0.0888,0.0698,0.0773,0.0790,0.0817,0.0903,0.0926,0.0965,0.0919,0.0880,0.0907,0.0913,0.1052,0.3369,0.3420,1.0000,0.1264,0.0970,0.1296,0.1468
Lan/hypernymy,0.0844,0.0819,0.0710,0.0620,0.0836,0.1118,0.0984,0.1171,0.0697,0.0513,0.0500,0.0743,0.0546,0.0900,0.0766,0.0728,0.0622,0.0538,0.1044,0.0901,0.0964,0.0610,0.0644,0.0673,0.0831,0.0979,0.1046,0.1068,0.1009,0.1021,0.0994,0.1039,0.1009,0.1219,0.1219,0.1264,1.0000,0.0739,0.0966,0.1063
Lan/npi,0.0764,0.0745,0.0757,0.0685,0.0765,0.0790,0.0796,0.0768,0.0665,0.0826,0.0751,0.0812,0.0764,0.0752,0.0752,0.0774,0.0891,0.0773,0.0719,0.0802,0.0749,0.0794,0.0879,0.0877,0.0815,0.0789,0.0695,0.0709,0.0739,0.0740,0.0756,0.0698,0.0765,0.0944,0.0958,0.0970,0.0739,1.0000,0.0881,0.0835
Lan/subject_verb_agreement,0.0801,0.0746,0.0677,0.0607,0.0780,0.0898,0.0845,0.0919,0.0644,0.0487,0.0522,0.0676,0.0525,0.0824,0.0714,0.0706,0.0622,0.0553,0.0878,0.0869,0.0833,0.0577,0.0658,0.0660,0.0634,0.0687,0.0878,0.0931,0.0899,0.0836,0.0842,0.0891,0.0959,0.1264,0.1264,0.1296,0.0966,0.0881,1.0000,0.1136
Lan/wug,0.1011,0.1016,0.0782,0.0715,0.1101,0.1463,0.1311,0.1481,0.0721,0.0590,0.0583,0.0890,0.0635,0.1048,0.0946,0.0831,0.0709,0.0559,0.1166,0.1103,0.1095,0.0638,0.0747,0.0784,0.1008,0.1132,0.1182,0.1268,0.1173,0.1077,0.1126,0.1184,0.0932,0.1368,0.1388,0.1468,0.1063,0.0835,0.1136,1.0000
