source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
ToM/agent,0.0025,0.0013,0.0021,0.0012,0.0020,0.0072,0.0034,0.0000,0.0000,0.0000,0.0011,0.0153,0.0271,0.0010,0.0000,0.0000,0.0822,0.0639,0.1760,0.0031,0.0000,0.0013,0.0011,0.0153,0.0016,0.0748,0.0172,0.0025,0.0020,0.0015,0.0053,0.0035,0.0486,0.0423,0.3414,0.0745,0.0338,0.0035,0.0123,0.0013,0.0077,0.0351,0.0388,0.0000,0.0074
ToM/desires_goals,0.0137,0.0000,0.0031,0.0075,0.0020,0.0109,0.0034,0.0000,0.0000,0.0000,0.0023,0.0011,0.0030,0.0010,0.0000,0.0000,0.0181,0.0085,0.0106,0.0000,0.0000,0.0025,0.0054,0.0000,0.0082,0.0097,0.0550,0.0010,0.0000,0.0000,0.0088,0.0000,0.0000,0.0094,0.0363,0.0209,0.0066,0.0024,0.0138,0.0013,0.0038,0.0210,0.0085,0.0000,0.0000
ToM/emotion_fewshot,0.0062,0.0090,0.0166,0.0125,0.0119,0.0109,0.0030,0.0000,0.0000,0.0000,0.0034,0.0098,0.0412,0.0010,0.0030,0.0000,0.0543,0.0032,0.0117,0.0000,0.0010,0.0025,0.0022,0.0265,0.0049,0.0485,0.0424,0.9903,0.1410,0.1386,0.6209,0.3675,0.0324,0.0657,0.3353,0.2000,0.1146,0.0413,0.1440,0.0078,0.4321,0.1178,0.1760,0.0089,0.0368
ToM/norm_appropriate,0.0037,0.0039,0.0166,0.0112,0.0059,0.0000,0.0038,0.0000,0.0000,0.0000,0.0000,0.0066,0.0311,0.0010,0.0010,0.0000,0.1184,0.0117,0.0297,0.0000,0.0010,0.0013,0.0033,0.0622,0.0049,0.0859,0.0321,0.1327,1.0000,0.6788,0.2049,0.2341,0.0270,0.0516,0.2266,0.1686,0.0770,0.0413,0.0888,0.0234,0.0295,0.1234,0.3228,0.0051,0.0221
ToM/norm_moral,0.0012,0.0000,0.0135,0.0087,0.0059,0.0000,0.0013,0.0000,0.0000,0.0000,0.0023,0.0077,0.0442,0.0010,0.0010,0.0000,0.0989,0.0415,0.0371,0.0031,0.0000,0.0013,0.0043,0.0398,0.0000,0.0679,0.0126,0.0239,0.7375,1.0000,0.1319,0.1625,0.0216,0.0329,0.2024,0.1974,0.1108,0.0236,0.0919,0.0078,0.0385,0.0827,0.3750,0.0545,0.0074
ToM/primary_emotions,0.0037,0.0000,0.0021,0.0025,0.0020,0.0109,0.0051,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097,0.0085,0.0074,0.0000,0.0010,0.0000,0.0076,0.0143,0.0049,0.0083,0.0034,0.0117,0.0000,0.0000,0.1953,0.2191,0.0108,0.0141,0.0272,0.0222,0.0056,0.0000,0.0138,0.0000,0.0064,0.0154,0.0170,0.0000,0.0000
ToM/secondary_emotions,0.0062,0.0000,0.0031,0.0050,0.0040,0.0072,0.0072,0.0000,0.0000,0.0000,0.0023,0.0000,0.0090,0.0000,0.0000,0.0000,0.0209,0.0021,0.0138,0.0000,0.0000,0.0025,0.0022,0.0092,0.0033,0.0139,0.0229,0.0137,0.0005,0.0005,0.1249,0.2253,0.0054,0.0376,0.0423,0.0392,0.0141,0.0012,0.0260,0.0000,0.0141,0.0238,0.0316,0.0000,0.0000
ToM/social_interactions,0.0150,0.0026,0.0041,0.0100,0.0040,0.0072,0.0030,0.0000,0.0000,0.0000,0.0000,0.0066,0.0100,0.0000,0.0010,0.0010,0.0933,0.0117,0.0795,0.0020,0.0000,0.0000,0.0022,0.0061,0.0049,0.0651,0.0263,0.0076,0.0020,0.0025,0.0299,0.0247,0.0595,0.0563,0.3837,0.0732,0.0357,0.0083,0.0168,0.0039,0.0128,0.0266,0.0534,0.0000,0.0147
ToM/social_relations,0.0125,0.0000,0.0031,0.0062,0.0040,0.0109,0.0017,0.0000,0.0000,0.0000,0.0000,0.0120,0.0944,0.0020,0.0020,0.0010,0.1838,0.2226,0.1601,0.0041,0.0000,0.0000,0.0033,0.0092,0.0065,0.0776,0.0080,0.0061,0.0000,0.0020,0.0062,0.0080,0.0703,0.0939,0.4532,0.1255,0.0892,0.0236,0.0337,0.0052,0.0256,0.0224,0.0206,0.0063,0.0441
phys/material,0.0100,0.0026,0.0041,0.0050,0.0020,0.0000,0.0046,0.0000,0.0000,0.0000,0.0023,0.0120,0.0803,0.0010,0.0020,0.0000,0.1184,0.0447,0.0456,0.0020,0.0000,0.0000,0.0033,0.0255,0.0049,0.0762,0.0241,0.0041,0.0005,0.0000,0.0062,0.0009,0.0649,0.0845,0.4804,0.1176,0.0526,0.0083,0.0490,0.0325,0.0333,0.0154,0.0328,0.0000,0.0441
phys/phys_newton,0.0112,0.0013,0.0062,0.0075,0.0139,0.0000,0.0249,0.0000,0.0011,0.0000,0.0057,0.0263,0.4066,0.0070,0.3570,0.0000,0.2242,0.2141,0.0657,0.0582,0.0000,0.0050,0.0043,0.0540,0.0082,0.1981,0.0103,0.0549,0.0395,0.3302,0.0176,0.0027,0.1189,0.1174,0.5045,0.9163,0.9042,0.1356,0.5957,0.0662,0.4808,0.0870,0.1711,0.0621,0.0368
phys/phys_prost,0.0050,0.0013,0.0114,0.0087,0.0119,0.0072,0.0093,0.0000,0.0011,0.0000,0.0034,0.0317,0.4137,0.0110,0.4160,0.0000,0.2409,0.1800,0.0604,0.0602,0.0000,0.0025,0.0011,0.0418,0.0098,0.1981,0.0137,0.0498,0.0360,0.4477,0.0255,0.0071,0.0865,0.1127,0.4955,0.8444,0.9521,0.1262,0.5773,0.2143,0.2154,0.1501,0.2524,0.3118,0.0294
phys/physics_brightness,0.0012,0.0065,0.0124,0.0100,0.0059,0.0109,0.0274,0.0000,0.0000,0.0000,0.0000,0.0077,0.0542,0.0020,0.0010,0.0000,0.0655,0.0085,0.0011,0.0010,0.0000,0.0000,0.0043,0.0194,0.0049,0.0471,0.0412,0.0142,0.0020,0.0100,0.0237,0.0124,0.0108,0.0423,0.1541,0.1634,0.0854,1.0000,0.1531,0.0052,0.1449,0.0561,0.0595,0.0076,0.0074
phys/physics_buoyancy,0.0075,0.0052,0.0083,0.0112,0.0079,0.0000,0.0156,0.0000,0.0011,0.0000,0.0000,0.0088,0.0522,0.0020,0.0070,0.0000,0.0655,0.0085,0.0074,0.0000,0.0000,0.0063,0.0033,0.0612,0.0115,0.0623,0.0195,0.0244,0.0025,0.0185,0.0352,0.0221,0.0108,0.0704,0.3202,0.2013,0.1333,0.0177,0.9908,0.4740,0.2359,0.1739,0.1080,0.2510,0.0368
phys/physics_elasticity,0.0025,0.0052,0.0187,0.0087,0.0059,0.0072,0.0093,0.0000,0.0000,0.0000,0.0023,0.0055,0.0221,0.0000,0.0010,0.0000,0.0501,0.0064,0.0021,0.0000,0.0010,0.0025,0.0054,0.0367,0.0082,0.0346,0.0206,0.0112,0.0025,0.0160,0.0299,0.0124,0.0108,0.0469,0.2024,0.1438,0.0732,0.0165,0.1547,1.0000,0.0308,0.0449,0.0376,0.0152,0.0000
phys/physics_solubility,0.0075,0.0026,0.0135,0.0125,0.0099,0.0000,0.0093,0.0000,0.0000,0.0000,0.0011,0.0077,0.0442,0.0010,0.0020,0.0000,0.0320,0.0064,0.0011,0.0000,0.0010,0.0013,0.0022,0.0214,0.0049,0.0457,0.0367,0.0132,0.0005,0.0015,0.0193,0.0062,0.0108,0.0469,0.1782,0.1817,0.1183,0.1733,0.8423,0.0195,0.9987,0.0449,0.0643,0.0824,0.0147
phys/physics_speed,0.0062,0.0000,0.0093,0.0100,0.0119,0.0145,0.0025,0.0000,0.0021,0.0000,0.0034,0.0098,0.0472,0.0010,0.0030,0.0000,0.0669,0.0117,0.0371,0.0000,0.0000,0.0075,0.0065,0.0469,0.0115,0.0928,0.0286,0.0305,0.1850,0.1021,0.1715,0.1378,0.0162,0.0610,0.2085,0.1542,0.1005,0.0295,0.6891,0.0039,0.0641,0.9804,0.2876,0.0203,0.0221
phys/physics_stability,0.0037,0.0078,0.0156,0.0162,0.0059,0.0109,0.0042,0.0000,0.0000,0.0000,0.0023,0.0088,0.0492,0.0020,0.0020,0.0000,0.0947,0.0256,0.0636,0.0000,0.0000,0.0038,0.0043,0.0550,0.0065,0.0928,0.0756,0.0432,0.9125,0.3687,0.2120,0.1970,0.0324,0.0751,0.2689,0.2157,0.1371,0.0448,0.1118,0.0377,0.0808,0.1697,1.0000,0.0076,0.0147
phys/physics_temperature,0.0062,0.0052,0.0104,0.0125,0.0099,0.0145,0.0068,0.0000,0.0000,0.0000,0.0023,0.0055,0.0321,0.0010,0.0010,0.0000,0.0571,0.0085,0.0053,0.0000,0.0010,0.0063,0.0054,0.0173,0.0049,0.0429,0.0149,0.0081,0.0000,0.0715,0.0088,0.0035,0.0108,0.0516,0.1692,0.1425,0.1070,0.0212,0.2282,0.0260,0.4821,0.0659,0.0485,1.0000,0.0074
phys/spatial,0.0050,0.0000,0.0031,0.0025,0.0020,0.0000,0.0025,0.0000,0.0000,0.0000,0.0011,0.0131,0.0723,0.0010,0.0010,0.0000,0.1142,0.0330,0.0657,0.0031,0.0000,0.0025,0.0011,0.0071,0.0049,0.0637,0.0172,0.0031,0.0000,0.0010,0.0000,0.0062,0.0649,0.0751,0.4109,0.0497,0.0347,0.0047,0.0260,0.0013,0.0154,0.0126,0.0267,0.0063,0.0441
