,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
ToM/social_interactions,0.001657,0.002422,0.003894,0.007355,0.006561,0.014168,0.014689,0.014787,0.002415,0.031348,0.053150,0.034302,0.021912,0.001781,0.002723,0.001997,0.001155,0.017043,0.026801,0.002696,0.148586,0.125070,0.020289,0.022738,0.026846,0.089240,0.087565,0.000000,0.106903,0.018957,0.019269,0.017004,0.016902,0.016930,0.016989,0.016070,0.017584,0.018152,0.016352,0.003602,0.001641,0.002151,0.003863,0.019161,0.005550,0.004152
ToM/social_relations,0.001180,0.002836,0.003812,0.007566,0.009815,0.027156,0.024105,0.027825,0.002503,0.035555,0.050233,0.028346,0.033412,0.001557,0.002868,0.002739,0.001626,0.016116,0.032072,0.002600,0.137273,0.077198,0.020762,0.019601,0.026018,0.070777,0.047059,0.106903,0.000000,0.031577,0.031693,0.018380,0.019205,0.021991,0.020771,0.013556,0.015159,0.027047,0.025471,0.003675,0.002504,0.001270,0.007909,0.022108,0.002462,0.005374
phys/phys_newton,0.000731,0.010604,0.001380,0.008591,0.022005,0.074093,0.055682,0.080274,0.001436,0.063363,0.039635,0.030424,0.061282,0.000887,0.011239,0.001306,0.009980,0.003038,0.025661,0.000925,0.015817,0.009582,0.034967,0.028000,0.035700,0.005482,0.010900,0.018957,0.031577,0.000000,0.121749,0.034942,0.034373,0.038486,0.040955,0.027958,0.030608,0.037092,0.015979,0.001164,0.000814,0.000972,0.012974,0.005052,0.001221,0.010263
phys/phys_prost,0.000736,0.010870,0.000944,0.008011,0.022394,0.080981,0.059152,0.088755,0.001412,0.046507,0.031278,0.029389,0.052532,0.000968,0.011420,0.001169,0.009604,0.002909,0.026489,0.000642,0.015674,0.007581,0.035385,0.027808,0.038881,0.004574,0.010168,0.019269,0.031693,0.121749,0.000000,0.038481,0.036734,0.042144,0.038960,0.031362,0.032613,0.042008,0.012360,0.000963,0.000877,0.000888,0.015846,0.002643,0.000431,0.010178
phys/physics_brightness,0.001899,0.007319,0.002688,0.009986,0.016353,0.040480,0.040747,0.040531,0.002558,0.013668,0.015117,0.020944,0.025457,0.000898,0.008618,0.001904,0.006794,0.009232,0.034461,0.001665,0.011921,0.013833,0.048721,0.051751,0.044993,0.006304,0.007010,0.017004,0.018380,0.034942,0.038481,0.000000,0.050287,0.059182,0.058831,0.046881,0.048118,0.053617,0.017354,0.006721,0.007278,0.007036,0.024707,0.015910,0.017018,0.029044
phys/physics_buoyancy,0.002406,0.013850,0.003763,0.009406,0.013581,0.037192,0.028312,0.037809,0.004620,0.016122,0.018797,0.024243,0.022687,0.002940,0.012750,0.002956,0.008662,0.005268,0.040557,0.002900,0.017453,0.017845,0.050914,0.045553,0.041417,0.016485,0.010780,0.016902,0.019205,0.034373,0.036734,0.050287,0.000000,0.066852,0.077839,0.057309,0.046190,0.067703,0.012875,0.005011,0.005202,0.005288,0.013290,0.011192,0.016292,0.031566
phys/physics_elasticity,0.002014,0.009365,0.003816,0.009833,0.013101,0.035834,0.034243,0.040835,0.003431,0.014915,0.013400,0.020901,0.021136,0.001717,0.010118,0.003059,0.009443,0.004594,0.026385,0.003298,0.015612,0.016616,0.056755,0.047314,0.042339,0.012237,0.011873,0.016930,0.021991,0.038486,0.042144,0.059182,0.066852,0.000000,0.080139,0.041046,0.043762,0.071583,0.020508,0.010066,0.009437,0.010613,0.022261,0.018203,0.039096,0.036234
phys/physics_solubility,0.002914,0.011372,0.003079,0.011342,0.012983,0.044034,0.032548,0.045414,0.003672,0.013199,0.013564,0.022325,0.019300,0.002495,0.012580,0.003688,0.008453,0.006472,0.031895,0.003224,0.014395,0.014895,0.051176,0.044413,0.039923,0.009980,0.009687,0.016989,0.020771,0.040955,0.038960,0.058831,0.077839,0.080139,0.000000,0.049440,0.043451,0.091131,0.014265,0.006020,0.004995,0.005834,0.025705,0.013341,0.029721,0.027931
phys/physics_speed,0.001085,0.015200,0.002475,0.012350,0.018647,0.032295,0.039415,0.032087,0.003119,0.016734,0.014915,0.042302,0.019154,0.000974,0.013231,0.001352,0.010485,0.010204,0.036128,0.001296,0.014330,0.010615,0.063877,0.052547,0.046604,0.013420,0.010281,0.016070,0.013556,0.027958,0.031362,0.046881,0.057309,0.041046,0.049440,0.000000,0.069230,0.053472,0.020108,0.005614,0.004892,0.005000,0.030102,0.016053,0.007374,0.009072
phys/physics_stability,0.000996,0.007130,0.001438,0.008459,0.014277,0.028021,0.035067,0.031982,0.001943,0.021071,0.013951,0.038726,0.024305,0.000977,0.007890,0.001339,0.008634,0.003532,0.030599,0.001057,0.013470,0.009579,0.058784,0.094564,0.079543,0.011942,0.010493,0.017584,0.015159,0.030608,0.032613,0.048118,0.046190,0.043762,0.043451,0.069230,0.000000,0.037296,0.015047,0.006078,0.005132,0.005618,0.022613,0.017309,0.003615,0.009813
phys/physics_temperature,0.002385,0.013889,0.003976,0.014251,0.013320,0.044587,0.036699,0.045653,0.004507,0.010653,0.013284,0.021861,0.017567,0.002624,0.012574,0.003112,0.010579,0.004904,0.026085,0.004475,0.012508,0.014159,0.048416,0.045830,0.062466,0.010455,0.009574,0.018152,0.027047,0.037092,0.042008,0.053617,0.067703,0.071583,0.091131,0.053472,0.037296,0.000000,0.021625,0.007106,0.005427,0.005418,0.029068,0.013357,0.025396,0.015929
Lan/anaphor_gender_agreement,0.001267,0.002421,0.002795,0.005373,0.002287,0.009004,0.005715,0.009574,0.006351,0.002498,0.010764,0.014786,0.009156,0.001182,0.001628,0.002613,0.000000,0.013547,0.020471,0.002878,0.011016,0.018567,0.019554,0.016423,0.013771,0.011685,0.002937,0.016352,0.025471,0.015979,0.012360,0.017354,0.012875,0.020508,0.014265,0.020108,0.015047,0.021625,0.000000,0.051095,0.037850,0.036368,0.183592,0.211801,0.129423,0.028207
Lan/det_noun_agreement_irregular,0.000400,0.000966,0.001042,0.001856,0.000399,0.000615,0.001297,0.001047,0.002181,0.000617,0.001644,0.005337,0.002060,0.000252,0.000710,0.000539,0.000234,0.004563,0.003979,0.000685,0.002159,0.002766,0.005642,0.004634,0.004208,0.002738,0.002480,0.003602,0.003675,0.001164,0.000963,0.006721,0.005011,0.010066,0.006020,0.005614,0.006078,0.007106,0.051095,0.000000,0.275157,0.230449,0.102788,0.036997,0.101139,0.128641
Lan/det_noun_agreement_regular,0.000366,0.000828,0.000835,0.001784,0.000378,0.000511,0.001457,0.001044,0.002193,0.000423,0.001039,0.004691,0.001497,0.000248,0.000721,0.000418,0.000209,0.002425,0.002971,0.000227,0.001312,0.002305,0.005474,0.004125,0.003917,0.001661,0.001741,0.001641,0.002504,0.000814,0.000877,0.007278,0.005202,0.009437,0.004995,0.004892,0.005132,0.005427,0.037850,0.275157,0.000000,0.253554,0.091680,0.035865,0.107621,0.141793
Lan/det_noun_agreement_with_adjective,0.000215,0.000346,0.000481,0.001417,0.000259,0.000766,0.001390,0.001169,0.002014,0.000580,0.000342,0.003398,0.001331,0.000049,0.000259,0.000347,0.000235,0.000589,0.003119,0.000291,0.000860,0.003089,0.004593,0.004331,0.003847,0.001431,0.002007,0.002151,0.001270,0.000972,0.000888,0.007036,0.005288,0.010613,0.005834,0.005000,0.005618,0.005418,0.036368,0.230449,0.253554,0.000000,0.140434,0.042360,0.130275,0.212727
Lan/hypernymy,0.000353,0.002915,0.000000,0.007131,0.004185,0.010681,0.010140,0.016045,0.003041,0.001629,0.003352,0.020027,0.005739,0.001575,0.003578,0.001524,0.000814,0.000000,0.001057,0.002117,0.002691,0.006160,0.024906,0.020704,0.010588,0.005331,0.002268,0.003863,0.007909,0.012974,0.015846,0.024707,0.013290,0.022261,0.025705,0.030102,0.022613,0.029068,0.183592,0.102788,0.091680,0.140434,0.000000,0.050664,0.079442,0.073548
Lan/npi,0.000668,0.005386,0.005488,0.014849,0.003201,0.006673,0.008058,0.005643,0.013055,0.022404,0.015922,0.059888,0.016401,0.001598,0.005376,0.001163,0.000000,0.007644,0.023378,0.005184,0.020853,0.040137,0.017413,0.023829,0.009048,0.028393,0.012179,0.019161,0.022108,0.005052,0.002643,0.015910,0.011192,0.018203,0.013341,0.016053,0.017309,0.013357,0.211801,0.036997,0.035865,0.042360,0.050664,0.000000,0.162748,0.029168
Lan/subject_verb_agreement,0.000000,0.000788,0.002896,0.000634,0.000697,0.000851,0.001979,0.001365,0.004659,0.000723,0.004983,0.006145,0.002582,0.000825,0.000182,0.000263,0.000000,0.001389,0.008567,0.001348,0.002883,0.009205,0.007332,0.012809,0.005024,0.005456,0.002321,0.005550,0.002462,0.001221,0.000431,0.017018,0.016292,0.039096,0.029721,0.007374,0.003615,0.025396,0.129423,0.101139,0.107621,0.130275,0.079442,0.162748,0.000000,0.135352
Lan/wug,0.003573,0.003066,0.003944,0.001875,0.004209,0.019877,0.023481,0.020832,0.003735,0.003217,0.003791,0.017796,0.007918,0.001271,0.001538,0.001237,0.002666,0.001969,0.009192,0.001356,0.003795,0.006824,0.010391,0.011290,0.010448,0.002433,0.002537,0.004152,0.005374,0.010263,0.010178,0.029044,0.031566,0.036234,0.027931,0.009072,0.009813,0.015929,0.028207,0.128641,0.141793,0.212727,0.073548,0.029168,0.135352,0.000000
