source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/mul_div_3op_verbal,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,phys/spatial
MD/mul_div_2op_verbal,0.0000,0.0080,0.0056,0.0054,0.0018,0.0000,0.0011,0.0016,0.9940,0.9978,0.9959,0.9904,0.5831,0.0352,0.0000,0.0000,0.9565,0.0052,0.0206,0.0041,0.0021,0.9990,0.9896,0.9883,0.9649,0.7817,0.0471,0.9923,0.0082,0.0022,0.0213,0.0000,0.0036,0.0145,0.0248,0.0000,0.0280,0.0028,0.0207,0.0052,0.0144,0.1860,0.0000,0.0127,0.0238,0.0165,0.0025,0.0311
MD/mul_div_3op_symbolic,0.0000,0.0080,0.0033,0.0054,0.0018,0.0000,0.0022,0.0004,0.9950,0.9738,0.9980,0.9771,0.5919,0.0023,0.0000,0.0000,0.9699,0.0052,0.1443,0.0000,0.0010,0.9980,0.9883,0.9936,0.9649,0.7948,0.0873,0.9910,0.0054,0.0022,0.0021,0.0000,0.0025,0.0000,0.0134,0.0000,0.0140,0.0028,0.0078,0.0000,0.0039,0.0042,0.0000,0.0011,0.0030,0.0000,0.0025,0.0311
MD/mul_div_3op_verbal,0.0000,0.0067,0.0056,0.0122,0.0000,0.0000,0.0033,0.0020,0.9789,0.9913,0.9777,0.9723,0.5721,0.0398,0.0000,0.0000,0.9543,0.0052,0.0289,0.0041,0.0031,1.0000,0.9909,0.9926,0.9591,0.7162,0.0361,0.9884,0.0054,0.0011,0.0245,0.0000,0.0086,0.0107,0.0143,0.0000,0.0280,0.0112,0.0258,0.0079,0.0184,0.0727,0.0000,0.0169,0.0223,0.0224,0.0038,0.0311
MD/number_sequence,0.0009,0.0067,0.0022,0.0027,0.0000,0.0000,0.0022,0.0012,0.0110,0.0273,0.0122,0.0265,0.1221,0.0080,0.0000,0.0000,0.1795,0.0042,0.0278,0.0041,0.0021,0.0358,0.0688,0.1113,0.2076,0.5502,0.0853,0.1416,0.0082,0.0011,0.0005,0.0000,0.0010,0.0010,0.0096,0.0000,0.0093,0.0084,0.0090,0.0000,0.0052,0.0168,0.0000,0.0063,0.0015,0.0047,0.0013,0.0124
MD/number_sorting,0.0000,0.0080,0.0011,0.0068,0.0000,0.0000,0.0011,0.0024,0.0080,0.0316,0.0305,0.0590,0.0396,0.0523,0.0000,0.0000,0.0602,0.0125,0.0062,0.0021,0.0093,0.0296,0.0377,0.0456,0.1213,0.1092,0.9569,0.0399,0.0218,0.0011,0.0357,0.0000,0.0228,0.0698,0.0248,0.0056,0.0374,0.0391,0.0413,0.0035,0.0157,0.0503,0.0000,0.0074,0.0268,0.0118,0.0025,0.0621
MD/simple_equation,0.0009,0.0040,0.0022,0.0054,0.0018,0.0000,0.0033,0.0012,1.0000,0.9956,0.9990,0.9940,0.5963,0.0023,0.0000,0.0000,0.9855,0.0042,0.4402,0.0000,0.0010,0.9990,0.9909,0.9947,0.9459,0.8253,0.0953,0.9923,0.0054,0.0022,0.0016,0.0000,0.0020,0.0039,0.0134,0.0000,0.0093,0.0056,0.0065,0.0000,0.0039,0.0042,0.0000,0.0011,0.0015,0.0012,0.0025,0.0311
ToM/agent,0.0000,0.0054,0.0045,0.0054,0.0000,0.0000,0.0022,0.0008,0.0000,0.0044,0.0000,0.0024,0.0066,0.0091,0.0000,0.0000,0.0000,0.0396,0.0134,0.0134,0.0445,0.0000,0.0013,0.0011,0.0029,0.0087,0.0000,0.0000,0.0395,0.0033,0.0138,0.0000,0.0101,0.0155,0.0048,0.0169,0.0327,0.1453,0.0000,0.0052,0.0118,0.0294,0.0000,0.0106,0.0104,0.0130,0.0013,0.0062
ToM/desires_goals,0.0009,0.0134,0.0022,0.0082,0.0000,0.0000,0.0000,0.0020,0.0000,0.0044,0.0000,0.0048,0.0022,0.0057,0.0000,0.0000,0.0000,0.0156,0.0021,0.0217,0.0031,0.0000,0.0013,0.0021,0.0088,0.0000,0.0000,0.0000,0.0150,0.0186,0.0016,0.0000,0.0051,0.0000,0.0067,0.0056,0.0280,0.0279,0.0155,0.0017,0.0092,0.0308,0.0000,0.0042,0.0060,0.0024,0.0013,0.0062
ToM/emotion_fewshot,0.0009,0.0228,0.0056,0.0217,0.0036,0.0000,0.0077,0.0020,0.0000,0.0065,0.0010,0.0060,0.0077,0.0364,0.0020,0.0000,0.0022,0.0156,0.0052,0.0052,0.0166,0.0010,0.0091,0.0021,0.0439,0.0087,0.0020,0.0039,0.0313,0.0055,0.9904,0.0120,0.2151,0.7575,0.2837,0.0056,0.0374,0.1117,0.0736,0.0262,0.0984,0.2573,0.0000,0.0762,0.0580,0.0648,0.0140,0.0000
ToM/norm_appropriate,0.0000,0.0174,0.0078,0.0136,0.0018,0.0000,0.0033,0.0056,0.0000,0.0044,0.0020,0.0048,0.0154,0.0182,0.0030,0.0000,0.0022,0.0188,0.0041,0.0351,0.0155,0.0000,0.0026,0.0032,0.0117,0.0218,0.0100,0.0000,0.0422,0.0044,0.1390,1.0000,0.6032,0.0951,0.0611,0.0226,0.0421,0.1285,0.0491,0.0262,0.0787,0.1189,0.0000,0.0360,0.0432,0.4488,0.0038,0.0435
ToM/norm_moral,0.0000,0.0201,0.0078,0.0136,0.0018,0.0000,0.0011,0.0132,0.0000,0.0044,0.0000,0.0048,0.0165,0.0295,0.0020,0.0000,0.0000,0.1074,0.0021,0.0299,0.0321,0.0000,0.0078,0.0042,0.0102,0.0262,0.0241,0.0013,0.0667,0.0033,0.1187,0.9840,1.0000,0.0941,0.0669,0.0734,0.0374,0.1676,0.0762,0.0454,0.0656,0.1524,0.0013,0.0444,0.0655,0.7161,0.1612,0.0435
ToM/primary_emotions,0.0009,0.0107,0.0022,0.0027,0.0000,0.0034,0.0011,0.0004,0.0000,0.0044,0.0000,0.0024,0.0022,0.0000,0.0000,0.0000,0.0011,0.0073,0.0041,0.0258,0.0000,0.0000,0.0000,0.0011,0.0029,0.0000,0.0010,0.0000,0.0218,0.0000,0.0650,0.0000,0.0030,0.0495,0.1032,0.0000,0.0234,0.0335,0.0129,0.0017,0.0026,0.0238,0.0000,0.0042,0.0060,0.0071,0.0013,0.0062
ToM/secondary_emotions,0.0009,0.0054,0.0022,0.0014,0.0000,0.0000,0.0000,0.0012,0.0000,0.0044,0.0000,0.0024,0.0044,0.0034,0.0010,0.0000,0.0000,0.0063,0.0082,0.0124,0.0093,0.0000,0.0013,0.0000,0.0044,0.0044,0.0010,0.0000,0.0272,0.0000,0.0293,0.0000,0.0041,0.0097,0.1633,0.0113,0.0280,0.0670,0.0155,0.0052,0.0118,0.0336,0.0000,0.0063,0.0208,0.0118,0.0013,0.0000
ToM/social_interactions,0.0000,0.0094,0.0022,0.0068,0.0000,0.0000,0.0011,0.0012,0.0000,0.0044,0.0000,0.0024,0.0066,0.0091,0.0000,0.0000,0.0000,0.0240,0.0124,0.0299,0.0487,0.0000,0.0013,0.0021,0.0073,0.0131,0.0000,0.0000,0.0449,0.0044,0.0106,0.0000,0.0015,0.0058,0.0076,0.0226,0.0467,0.1285,0.0090,0.0009,0.0092,0.0252,0.0000,0.0116,0.0060,0.0047,0.0025,0.0062
ToM/social_relations,0.0018,0.0147,0.0033,0.0068,0.0000,0.0000,0.0022,0.0008,0.0000,0.0033,0.0000,0.0012,0.0055,0.0227,0.0030,0.0000,0.0000,0.0678,0.0155,0.1197,0.0528,0.0000,0.0013,0.0011,0.0044,0.0306,0.0040,0.0000,0.0449,0.0033,0.0128,0.0000,0.0193,0.0019,0.0038,0.0113,0.0561,0.1006,0.0039,0.0026,0.0197,0.0210,0.0000,0.0116,0.0045,0.0200,0.0025,0.0062
phys/material,0.0028,0.0094,0.0033,0.0041,0.0000,0.0034,0.0022,0.0044,0.0000,0.0044,0.0000,0.0036,0.0077,0.0170,0.0010,0.0000,0.0000,0.0167,0.0021,0.0072,0.0269,0.0000,0.0000,0.0011,0.0058,0.0175,0.0000,0.0000,0.0286,0.0022,0.0080,0.0000,0.0025,0.0068,0.0057,0.0113,0.0327,0.1229,0.0065,0.0009,0.0118,0.0210,0.0000,0.0053,0.0045,0.0118,0.0025,0.0062
phys/phys_newton,0.0009,0.0094,0.0045,0.0068,0.0000,0.0000,0.0011,0.0048,0.0000,0.0044,0.0000,0.0048,0.0198,0.3534,0.0060,0.2330,0.0000,0.5130,0.4722,0.0093,0.5248,0.0000,0.0065,0.0032,0.0234,0.0131,0.0301,0.0000,0.1184,0.0033,0.0623,0.0045,0.3090,0.0388,0.0143,0.0056,0.0514,0.1229,0.9599,0.9493,0.0971,0.5007,0.0169,0.2074,0.0774,0.0730,0.0990,0.0373
phys/phys_prost,0.0000,0.0067,0.0045,0.0000,0.0000,0.0000,0.0022,0.0048,0.0000,0.0044,0.0000,0.0036,0.0198,0.3307,0.0030,0.2240,0.0000,0.5109,0.3938,0.0103,0.4596,0.0000,0.0078,0.0032,0.0205,0.0087,0.0381,0.0013,0.1211,0.0055,0.1006,0.0115,0.3349,0.0330,0.0201,0.0056,0.0561,0.1006,0.9044,0.9895,0.2100,0.6000,0.0714,0.1323,0.1518,0.1178,0.2398,0.0621
phys/physics_brightness,0.0009,0.0161,0.0178,0.0163,0.0036,0.0000,0.0099,0.0569,0.0000,0.0044,0.0010,0.0036,0.0110,0.0159,0.0020,0.0000,0.0022,0.0240,0.0052,0.0093,0.0269,0.0000,0.0026,0.0021,0.0205,0.0131,0.0070,0.0026,0.0463,0.0076,0.0607,0.0085,0.1309,0.0204,0.0229,0.0282,0.0374,0.1536,0.0633,0.0332,0.9987,0.2545,0.2286,0.1217,0.0923,0.0789,0.0102,0.0559
phys/physics_buoyancy,0.0000,0.0174,0.0067,0.0041,0.0018,0.0000,0.0055,0.0172,0.0000,0.0044,0.0010,0.0048,0.0154,0.0386,0.0030,0.0030,0.0045,0.0553,0.0062,0.0330,0.0321,0.0000,0.0065,0.0021,0.0175,0.0218,0.0592,0.0026,0.0544,0.0098,0.1219,0.2235,0.3962,0.0883,0.0487,0.0339,0.0374,0.1620,0.1240,0.0515,0.4882,0.9930,0.2740,0.4751,0.1399,0.2120,0.0571,0.1180
phys/physics_elasticity,0.0009,0.0174,0.0134,0.0136,0.0054,0.0000,0.0110,0.0200,0.0000,0.0044,0.0010,0.0024,0.0088,0.0261,0.0000,0.0000,0.0011,0.0052,0.0052,0.0031,0.0176,0.0000,0.0052,0.0064,0.0219,0.0393,0.0020,0.0026,0.0313,0.0022,0.0692,0.0040,0.1299,0.0252,0.0372,0.0226,0.0467,0.1034,0.0775,0.0376,0.0722,0.1832,1.0000,0.1228,0.0312,0.0542,0.1307,0.0062
phys/physics_solubility,0.0000,0.0134,0.0100,0.0122,0.0036,0.0000,0.0088,0.0257,0.0000,0.0076,0.0010,0.0060,0.0088,0.0284,0.0020,0.0000,0.0000,0.0521,0.0072,0.0031,0.0290,0.0000,0.0130,0.0042,0.0322,0.0087,0.0010,0.0000,0.0422,0.0109,0.0596,0.0060,0.2486,0.0010,0.0153,0.0339,0.0374,0.1816,0.0866,0.0253,0.0682,0.4755,0.0013,0.9989,0.0551,0.0660,0.4924,0.0062
phys/physics_speed,0.0009,0.0174,0.0134,0.0204,0.0018,0.0000,0.0055,0.0136,0.0000,0.0044,0.0010,0.0048,0.0176,0.0375,0.0050,0.0000,0.0000,0.0229,0.0144,0.0867,0.0269,0.0000,0.0026,0.0042,0.0190,0.0087,0.0401,0.0000,0.0762,0.0087,0.1134,0.0165,0.1948,0.0989,0.0516,0.0282,0.0421,0.1034,0.0581,0.0218,0.0643,0.8084,0.0000,0.0921,0.9836,0.1649,0.0495,0.0621
phys/physics_stability,0.0000,0.0147,0.0145,0.0122,0.0000,0.0000,0.0066,0.0032,0.0000,0.0044,0.0010,0.0036,0.0176,0.0420,0.0020,0.0000,0.0000,0.0417,0.0072,0.0413,0.0300,0.0000,0.0065,0.0011,0.0175,0.0175,0.0020,0.0000,0.0476,0.0131,0.1145,0.9935,0.6296,0.1135,0.0621,0.0169,0.0421,0.1229,0.0943,0.0437,0.0787,0.2000,0.0013,0.0847,0.1086,0.9953,0.0140,0.0497
phys/physics_temperature,0.0009,0.0134,0.0067,0.0217,0.0018,0.0000,0.0088,0.0044,0.0000,0.0065,0.0010,0.0060,0.0077,0.0239,0.0010,0.0000,0.0022,0.0615,0.0062,0.0010,0.0393,0.0000,0.0078,0.0053,0.0278,0.0175,0.0020,0.0013,0.0395,0.0066,0.0527,0.0005,0.2684,0.0601,0.0363,0.0282,0.0374,0.1229,0.0736,0.0332,0.2966,0.2811,0.0013,0.5746,0.0446,0.0330,1.0000,0.0186
phys/spatial,0.0000,0.0067,0.0045,0.0054,0.0000,0.0000,0.0022,0.0016,0.0000,0.0044,0.0000,0.0024,0.0055,0.0068,0.0000,0.0000,0.0000,0.0209,0.0021,0.0475,0.0435,0.0000,0.0013,0.0021,0.0073,0.0131,0.0150,0.0000,0.0435,0.0033,0.0106,0.0000,0.0086,0.0252,0.0048,0.0339,0.0841,0.0894,0.0026,0.0035,0.0157,0.0266,0.0000,0.0074,0.0193,0.0118,0.0025,0.0062
