source\target,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/number_sorting,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/social_interactions,ToM/social_relations,phys/material,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature
ToM/social_relations,0.0012,0.0000,0.0010,0.0000,0.0028,0.0000,0.0013,0.0010,0.0000,0.0012,0.0000,0.0015,0.0117,0.1053,0.0000,0.0000,0.0028,0.2567,0.4365,0.0144,0.0833,0.0021,0.0000,0.0000,0.0272,0.0086,0.0000,0.0071,0.0397,0.0257,0.0617,0.2086,0.1550,0.1296,0.0900,0.0339,0.0000,0.0021,0.0079,0.0117,0.0069
phys/material,0.0000,0.0012,0.0010,0.0051,0.0028,0.0000,0.0013,0.0034,0.0000,0.0000,0.0011,0.0030,0.0070,0.0588,0.0000,0.0000,0.0042,0.1648,0.3925,0.0227,0.0714,0.0000,0.0029,0.0000,0.0304,0.0143,0.0000,0.0106,0.0255,0.0000,0.0556,0.1070,0.1459,0.0944,0.0520,0.0169,0.0000,0.0021,0.0144,0.0078,0.0034
phys/phys_newton,0.0012,0.0037,0.0052,0.0026,0.0000,0.0000,0.0025,0.0058,0.0000,0.0048,0.0000,0.0045,0.1761,0.4954,0.4340,0.4590,0.0055,0.5705,0.6091,0.0340,0.7143,0.0000,0.0073,0.1984,0.1997,0.0689,0.0070,0.1186,0.4970,0.0655,0.1790,0.2941,0.3891,0.9606,0.9150,0.3344,0.0023,0.2790,0.0798,0.1081,0.0206
phys/phys_prost,0.0012,0.0037,0.0021,0.0051,0.0000,0.0000,0.0000,0.0063,0.0000,0.0048,0.0000,0.0030,0.1420,0.5439,0.3010,0.5600,0.0042,0.4976,0.6075,0.0154,0.5726,0.0000,0.0088,0.3387,0.2300,0.0674,0.0196,0.1176,0.5155,0.0719,0.1296,0.2888,0.3313,0.9352,0.9470,0.3374,0.0000,0.1885,0.1204,0.1068,0.0218
phys/physics_brightness,0.0000,0.0049,0.0042,0.0064,0.0028,0.0000,0.0025,0.0039,0.0010,0.0024,0.0000,0.0030,0.0129,0.0888,0.0000,0.0010,0.0028,0.0507,0.0651,0.0021,0.0274,0.0021,0.0029,0.0010,0.0256,0.0230,0.0045,0.0540,0.1597,0.0064,0.0247,0.0642,0.0638,0.1972,0.1670,1.0000,0.1384,0.0703,0.0432,0.0443,0.0057
phys/physics_elasticity,0.0012,0.0037,0.0052,0.0153,0.0000,0.0000,0.0126,0.0237,0.0000,0.0024,0.0000,0.0015,0.0070,0.0413,0.0000,0.0000,0.0042,0.0634,0.0456,0.0124,0.0060,0.0000,0.0058,0.0000,0.0192,0.0215,0.0050,0.0101,0.1168,0.0642,0.0062,0.0588,0.0851,0.1338,0.0990,0.1094,1.0000,0.0298,0.0275,0.0365,0.0149
phys/physics_solubility,0.0000,0.0012,0.0021,0.0051,0.0028,0.0000,0.0088,0.0106,0.0000,0.0012,0.0000,0.0030,0.0129,0.0784,0.0000,0.0000,0.0042,0.0840,0.0603,0.0484,0.0202,0.0000,0.0088,0.0030,0.0208,0.0143,0.0045,0.0222,0.1548,0.0116,0.0370,0.0535,0.0851,0.1676,0.1070,0.2635,0.0000,0.9979,0.0262,0.0417,0.0872
phys/physics_speed,0.0000,0.0049,0.0031,0.0051,0.0028,0.0000,0.0000,0.0024,0.0010,0.0036,0.0032,0.0163,0.0293,0.0537,0.0010,0.0000,0.0361,0.0761,0.4039,0.5850,0.0357,0.0053,0.0102,0.0240,0.0319,0.0402,0.0473,0.4914,0.3987,0.0860,0.0185,0.0588,0.0760,0.1746,0.1090,0.0940,0.0000,0.0437,0.9607,0.2552,0.0218
phys/physics_stability,0.0000,0.0049,0.0042,0.0064,0.0028,0.0000,0.0013,0.0034,0.0000,0.0012,0.0000,0.0045,0.0246,0.0712,0.0070,0.0000,0.0014,0.0872,0.2752,0.2451,0.0381,0.0000,0.0058,0.0000,0.0192,0.0588,0.0679,0.8113,0.7523,0.0988,0.0556,0.0535,0.0638,0.1690,0.1010,0.1279,0.0000,0.0607,0.0903,0.9896,0.0149
phys/physics_temperature,0.0012,0.0061,0.0042,0.0077,0.0000,0.0000,0.0000,0.0034,0.0010,0.0036,0.0000,0.0015,0.0094,0.0630,0.0000,0.0000,0.0014,0.0967,0.0228,0.0021,0.0048,0.0000,0.0044,0.0020,0.0144,0.0215,0.0020,0.0055,0.0728,0.0411,0.0000,0.0374,0.0334,0.1113,0.0890,0.0431,0.0000,0.4633,0.0641,0.0234,1.0000
