,MD/add_sub_2op_symbolic,MD/add_sub_2op_verbal,MD/add_sub_3op_symbolic,MD/add_sub_3op_verbal,MD/code_A,MD/code_B,MD/code_conditional,MD/code_list,MD/code_loop,MD/logic_propositional_1,MD/logic_propositional_symbolic,MD/logic_syllogism_1,MD/logic_syllogism_symbolic,MD/mul_div_2op_symbolic,MD/mul_div_2op_verbal,MD/mul_div_3op_symbolic,MD/number_sequence,MD/number_sorting,MD/simple_equation,ToM/agent,ToM/desires_goals,ToM/emotion_fewshot,ToM/norm_appropriate,ToM/norm_moral,ToM/primary_emotions,ToM/secondary_emotions,ToM/social_interactions,ToM/social_relations,phys/phys_newton,phys/phys_prost,phys/physics_brightness,phys/physics_buoyancy,phys/physics_elasticity,phys/physics_solubility,phys/physics_speed,phys/physics_stability,phys/physics_temperature,Lan/anaphor_gender_agreement,Lan/det_noun_agreement_irregular,Lan/det_noun_agreement_regular,Lan/det_noun_agreement_with_adjective,Lan/hypernymy,Lan/npi,Lan/subject_verb_agreement,Lan/wug
MD/logic_propositional_symbolic,0.004869,0.003074,0.004561,0.003949,0.013586,0.027100,0.027128,0.011580,0.004440,0.268894,0.000000,0.077032,0.058067,0.001795,0.002912,0.002203,0.013992,0.064823,0.004210,0.024970,0.018297,0.013087,0.017347,0.016977,0.025017,0.015894,0.018658,0.019947,0.063179,0.056574,0.008915,0.018981,0.011481,0.007604,0.015119,0.016390,0.009030,0.001549,0.000923,0.000473,0.000000,0.000000,0.020782,0.001218,0.003372
MD/logic_syllogism_1,0.004053,0.007738,0.003664,0.005898,0.029191,0.030335,0.059423,0.025785,0.003904,0.056359,0.077032,0.000000,0.043361,0.003351,0.006257,0.003947,0.005551,0.045943,0.003582,0.028761,0.018071,0.028283,0.043891,0.036885,0.017644,0.015825,0.020537,0.020368,0.029338,0.027061,0.025697,0.026345,0.023891,0.018104,0.035618,0.038129,0.024263,0.013109,0.004573,0.004651,0.005515,0.012034,0.043017,0.007728,0.015288
MD/logic_syllogism_symbolic,0.005568,0.007993,0.004974,0.006618,0.015179,0.038772,0.039743,0.044658,0.006171,0.084763,0.058067,0.043361,0.000000,0.005613,0.006213,0.005624,0.007393,0.038840,0.003777,0.011204,0.004101,0.023590,0.031635,0.030196,0.005004,0.005269,0.010331,0.019340,0.052495,0.044022,0.034391,0.026891,0.031499,0.029155,0.024959,0.027043,0.027130,0.020271,0.007228,0.007121,0.006443,0.025156,0.025841,0.017485,0.028870
MD/mul_div_2op_symbolic,0.103007,0.073729,0.100052,0.072836,0.052836,0.004226,0.002530,0.002711,0.102468,0.000000,0.001795,0.003351,0.005613,0.000000,0.107310,0.130456,0.052541,0.006535,0.110262,0.001642,0.002338,0.003446,0.002783,0.003127,0.000851,0.002346,0.002387,0.002499,0.002007,0.001756,0.003367,0.002710,0.003411,0.003189,0.003541,0.003767,0.004173,0.005216,0.001495,0.000874,0.000748,0.002448,0.002455,0.002733,0.002433
MD/mul_div_2op_verbal,0.072758,0.094883,0.073567,0.089614,0.043555,0.013233,0.008688,0.010372,0.075115,0.000000,0.002912,0.006257,0.006213,0.107310,0.000000,0.103454,0.044533,0.008854,0.088116,0.000600,0.001584,0.013192,0.007773,0.008330,0.001647,0.002708,0.001900,0.002419,0.008073,0.007676,0.011020,0.009874,0.010259,0.011249,0.011208,0.009050,0.011879,0.005047,0.001640,0.001028,0.001258,0.001946,0.002376,0.003968,0.002862
MD/mul_div_3op_symbolic,0.098191,0.071795,0.103014,0.072701,0.056517,0.003724,0.002895,0.002327,0.110893,0.000435,0.002203,0.003947,0.005624,0.130456,0.103454,0.000000,0.052449,0.008580,0.114756,0.000647,0.001402,0.003594,0.002722,0.002944,0.001201,0.001202,0.001124,0.001725,0.002196,0.001831,0.003098,0.002189,0.002964,0.002698,0.003520,0.003316,0.003292,0.005440,0.000797,0.000554,0.000373,0.001550,0.003464,0.000503,0.001692
MD/number_sequence,0.051417,0.042889,0.049625,0.036964,0.043996,0.010233,0.003152,0.005181,0.064613,0.009789,0.013992,0.005551,0.007393,0.052541,0.044533,0.052449,0.000000,0.047968,0.061953,0.032446,0.063901,0.009008,0.007204,0.006036,0.046151,0.037262,0.032414,0.032670,0.004291,0.001597,0.006196,0.008729,0.008309,0.008316,0.009775,0.011286,0.009295,0.016093,0.004679,0.003448,0.004038,0.005552,0.015949,0.008877,0.002239
MD/number_sorting,0.010045,0.008953,0.012863,0.010064,0.018422,0.027251,0.028394,0.019929,0.012932,0.056230,0.064823,0.045943,0.038840,0.006535,0.008854,0.008580,0.047968,0.000000,0.011874,0.022810,0.018264,0.025335,0.029525,0.028792,0.016559,0.011950,0.019246,0.038234,0.026183,0.025740,0.019171,0.034185,0.025077,0.021365,0.037830,0.031137,0.026945,0.023308,0.007574,0.005855,0.008126,0.001929,0.030262,0.013298,0.012802
MD/simple_equation,0.104668,0.081363,0.098134,0.076147,0.059483,0.006068,0.002034,0.002505,0.107157,0.000000,0.004210,0.003582,0.003777,0.110262,0.088116,0.114756,0.061953,0.011874,0.000000,0.001879,0.003009,0.004002,0.002488,0.003324,0.002021,0.002575,0.001982,0.002115,0.001688,0.001772,0.002432,0.003782,0.003612,0.003220,0.003574,0.002886,0.003186,0.005265,0.000939,0.000536,0.000919,0.001501,0.002478,0.001379,0.001348
ToM/agent,0.001403,0.001165,0.002036,0.002048,0.003346,0.006035,0.009065,0.005750,0.001386,0.023298,0.024970,0.028761,0.011204,0.001642,0.000600,0.000647,0.032446,0.022810,0.001879,0.000000,0.098644,0.008143,0.009716,0.014731,0.138274,0.085245,0.164799,0.153357,0.010473,0.009985,0.008122,0.011268,0.009221,0.006308,0.011781,0.011844,0.008997,0.018205,0.003944,0.002452,0.001588,0.004273,0.019912,0.006313,0.001915
ToM/desires_goals,0.001291,0.000933,0.001470,0.002572,0.002297,0.006443,0.005631,0.006935,0.000872,0.020792,0.018297,0.018071,0.004101,0.002338,0.001584,0.001402,0.063901,0.018264,0.003009,0.098644,0.000000,0.010568,0.008266,0.010906,0.121839,0.211960,0.128353,0.078371,0.007754,0.006870,0.008302,0.010916,0.007383,0.008914,0.009433,0.013068,0.005587,0.025724,0.004180,0.003491,0.002090,0.006843,0.018164,0.007639,0.004533
ToM/emotion_fewshot,0.004306,0.013603,0.004902,0.011003,0.017410,0.033910,0.036366,0.037821,0.005626,0.012571,0.013087,0.028283,0.023590,0.003446,0.013192,0.003594,0.009008,0.025335,0.004002,0.008143,0.010568,0.000000,0.052804,0.046770,0.015690,0.015600,0.009542,0.013343,0.034226,0.035237,0.054431,0.049510,0.042712,0.046454,0.057801,0.051076,0.043670,0.014315,0.009304,0.007194,0.006967,0.026011,0.014320,0.015941,0.017320
ToM/norm_appropriate,0.002674,0.007706,0.002315,0.011546,0.017291,0.029578,0.041933,0.034804,0.002871,0.019086,0.017347,0.043891,0.031635,0.002783,0.007773,0.002722,0.007204,0.029525,0.002488,0.009716,0.008266,0.052804,0.000000,0.075280,0.010200,0.008729,0.011474,0.014980,0.028833,0.030440,0.047864,0.042065,0.041400,0.038617,0.049270,0.083569,0.040696,0.014462,0.004423,0.004156,0.004822,0.016488,0.015818,0.013262,0.017196
ToM/norm_moral,0.003456,0.007641,0.002905,0.009285,0.015182,0.034155,0.037507,0.039622,0.001689,0.023370,0.016977,0.036885,0.030196,0.003127,0.008330,0.002944,0.006036,0.028792,0.003324,0.014731,0.010906,0.046770,0.075280,0.000000,0.021327,0.015411,0.014977,0.018675,0.032077,0.036463,0.040008,0.042929,0.040534,0.039487,0.043569,0.061947,0.056944,0.012180,0.006201,0.006075,0.006065,0.013770,0.008600,0.007234,0.016413
ToM/primary_emotions,0.001106,0.001598,0.001532,0.002202,0.002198,0.002758,0.006376,0.001697,0.001562,0.015974,0.025017,0.017644,0.005004,0.000851,0.001647,0.001201,0.046151,0.016559,0.002021,0.138274,0.121839,0.015690,0.010200,0.021327,0.000000,0.201489,0.114605,0.091998,0.005603,0.005042,0.007109,0.010428,0.008563,0.003816,0.009820,0.010103,0.006630,0.029124,0.003181,0.002989,0.003112,0.002302,0.019701,0.003270,0.000685
